Directory Name,URL,Category,Priority,DA,Status,Listing Found?,NAP Consistent?,Notes,Listing Type (Paid/Free)
Halton Chamber of Commerce,https://haltonchamber.org,Chamber,Medium,45,Not Started,No,,Halton region coverage,$300-500/yr
Oakville Chamber of Commerce,https://oakvillechamber.com,Chamber,Medium,48,Not Started,No,,If serving Oakville,$300-500/yr
Downtown Milton BIA,https://downtownmilton.com/directory,BIA,Medium,35,Not Started,No,,Business Improvement Area,
ShopMilton,https://www.shopmilton.com,Local Directory,Medium,30,Not Started,No,,Milton business directory,
LegalMatch Canada,https://www.legalmatch.com,Legal Directory,Medium,60,Not Started,No,,Create firm profile,Free
HG.org Legal Directory,https://www.hg.org,Legal Directory,Medium,65,Not Started,No,,List firm + practice areas,Free/Paid
Avvo,https://www.avvo.com,Legal Directory,Medium,80,Not Started,No,,If serving US clients,Free
Canadian Bar Association,https://cba.org/public/find-a-lawyer/,Legal Directory,High,70,Not Started,No,,Find-a-Lawyer directory,
Lexpert,https://www.lexpert.ca,Legal Directory,Medium,55,Not Started,No,,Canadian legal magazine,Paid
Legal 500 Canada,https://www.legal500.com/c/canada,Legal Directory,High,75,Not Started,No,,International directory,
LawyerLocate.ca,https://lawyerlocate.ca/,Legal Directory,Medium,35,Not Started,No,,Canadian lawyer referral,
ProfileCanada,https://www.profilecanada.com/,General Directory,Low,52,Not Started,No,,Canadian business directory,
OurBis.ca,https://www.ourbis.ca/en,General Directory,Low,39,Not Started,No,,French-Canadian directory,
Yalwa.ca,https://www.yalwa.ca,General Directory,Low,29,Not Started,No,,Classifieds + directory,
CanPages.ca,https://www.canpages.ca,General Directory,Medium,54,Not Started,No,,Canadian pages directory,
PagesJaunes.ca,https://www.pagesjaunes.ca,General Directory,Medium,54,Not Started,No,,French yellow pages,
2FindLocal,https://www.2findlocal.com/en/ca,General Directory,Low,46,Not Started,No,,Local search directory,
FoundLocally,https://foundlocally.com/,General Directory,Low,46,Not Started,No,,Canadian local directory,
ForLocations,https://www.forlocations.com/,General Directory,Low,45,Not Started,No,,Multi-location businesses,
CompanyList.org,https://companylist.org/,General Directory,Low,36,Not Started,No,,Business directory,
ExactSeek,https://www.exactseek.com/,General Directory,Low,45,Not Started,No,,Business search engine,
SalesSpider,https://www.salespider.com/,Business Network,Low,50,Not Started,No,,Business networking,
BrownBook.net,https://www.brownbook.net/,General Directory,Low,56,Not Started,No,,International directory,
Cybo.com,https://www.cybo.com/,General Directory,Low,50,Not Started,No,,Business directory,
iGlobal.co,https://www.iglobal.co/,General Directory,Low,41,Not Started,No,,Local business search,
AllPages.com,https://www.allpages.com/,General Directory,Low,40,Not Started,No,,Business directory,
ShowMeLocal.com,https://ca.showmelocal.com/,General Directory,Low,50,Not Started,No,,Local business listings,
EnrollBusiness.com,https://ca.enrollbusiness.com/,General Directory,Low,44,Not Started,No,,Business directory,
BizExposed.com,https://www.bizexposed.com/,General Directory,Low,34,Not Started,No,,Business exposure,
VendorLand.ca,https://www.vendorland.ca/,General Directory,Low,26,Not Started,No,,Canadian vendor directory,
CTI Directory,https://www.ctidirectory.com/,General Directory,Low,33,Not Started,No,,Business directory,
Zipleaf.ca,https://www.zipleaf.ca/,General Directory,Low,24,Not Started,No,,Canadian directory,
LocalStore.ca,https://www.localstore.ca/,General Directory,Low,20,Not Started,No,,Local retail directory,
CanadianPlanet.net,https://www.canadianplanet.net/,General Directory,Low,24,Not Started,No,,Canadian directory,
OpenDI.ca,https://www.opendi.ca/,General Directory,Low,24,Not Started,No,,Canadian directory,
LookupCanadian.com,https://www.lookupcanadian.com/,General Directory,Low,20,Not Started,No,,Canadian lookup,
CDNPages.ca,https://www.cdnpages.ca,General Directory,Low,25,Not Started,No,,Canadian pages,
MyHuckleberry.com,https://www.myhuckleberry.com/,General Directory,Low,47,Not Started,No,,Local recommendations,
Number.com,https://www.number.com/,General Directory,Low,50,Not Started,No,,Business phone directory,
PhonePages.ca,https://www.phonepages.ca/,General Directory,Low,33,Not Started,No,,Phone directory,
Tuugo.ca,https://www.tuugo.ca,General Directory,Low,35,Not Started,No,,Canadian directory,Free
CanandaOne.com,https://www.canadaone.com/,General Directory,Low,45,Not Started,No,,Canadian portal,
CanadianBusinessDirectory.ca,https://www.canadianbusinessdirectory.ca,General Directory,Low,36,Not Started,No,,Canadian directory,
Where2Go.com,https://where2go.com/,General Directory,Low,35,Not Started,No,,Business directory,
Wand.com,https://wand.com/,General Directory,Low,35,Not Started,No,,Business directory,
FSLocal.com,https://www.fslocal.com/,General Directory,Low,39,Not Started,No,,Local search,
RelmaxTop.com,https://www.relmaxtop.com/,General Directory,Low,29,Not Started,No,,Business directory,
Fyple.ca,https://www.fyple.ca/,General Directory,Low,29,Not Started,No,,Canadian directory,
MisterWhat.ca,https://ca.misterwhat.com,General Directory,Low,29,Not Started,No,,Business directory,
CanLinks.net,https://canlinks.net,General Directory,Low,32,Not Started,No,,Canadian links,
BigWigBiz.com,https://bigwigbiz.com,General Directory,Low,28,Not Started,No,,Business directory,
NTDirectory.com,https://ntdirectory.com/,General Directory,Low,27,Not Started,No,,Directory,
Andy's Directory,https://www.andysdirectory.com,General Directory,Low,16,Not Started,No,,Niche directory,
LocalSites.ca,https://www.localsites.ca,General Directory,Low,26,Not Started,No,,Local directory,
ReviewSource.ca,https://www.reviewsource.ca/,Review Site,Low,18,Not Started,No,,Canadian reviews,
SmallBizPages.ca,https://www.smallbizpages.ca/,General Directory,Low,32,Not Started,No,,Small business pages,
TheBlurb.ca,https://www.theblurb.ca/,General Directory,Low,19,Not Started,No,,Canadian blurb,
CanadianSeniorsDirectory.ca,https://www.canadianseniorsdirectory.ca/,Niche Directory,Low,25,Not Started,No,,Seniors-focused,
BancroftOntario.com,https://bancroftontario.com/submit-to-business-directory/,Local Directory,Low,30,Not Started,No,,Regional directory,
LocalTorontoBusiness.ca,https://localtorontobusiness.ca/milton-business-directory/,Local Directory,Medium,28,Not Started,No,,Toronto-area directory,
HaltonHillsToday.ca,https://www.haltonhillstoday.ca/directory/business-associations,Local Directory,Low,35,Not Started,No,,Halton Hills directory,
BurlingtonChamber.com,https://business.burlingtonchamberofcommerce.org,Chamber,Low,40,Not Started,No,,Burlington chamber,
MississaugaBoardofTrade.com,https://www.mississaugaboardoftrade.com,Chamber,Medium,42,Not Started,No,,Mississauga chamber,$400+/yr
BramptonBoardofTrade.com,https://www.bbot.ca,Chamber,Low,38,Not Started,No,,Brampton chamber,$300+/yr
TorontoRegionBOT.com,https://www.bot.com,Chamber,Medium,50,Not Started,No,,Toronto board of trade,$500+/yr
ICCRC Registry,https://iccrc-crcic.info,Immigration Directory,Medium,45,Not Started,No,,If offering immigration law,Free
Legal Aid Ontario,https://www.legalaid.on.ca/lawyers/,Legal Directory,Medium,70,Not Started,No,,If doing legal aid work,
ProBono Law Ontario,https://www.probonolaw.ca,Legal Directory,Medium,50,Not Started,No,,If doing pro bono work,
Canadian Legal Lexpert Directory,https://www.canadianlegaldirectory.com,Legal Directory,High,55,Not Started,No,,Annual directory,Paid
LawTimes,https://www.lawtimesnews.com,Legal News,Low,50,Not Started,No,,Legal news + directory,Paid
Ontario Legal Directory,https://www.ontariolegaldirectory.com,Legal Directory,Medium,40,Not Started,No,,Provincial directory,Free/Paid
LawyerShop.ca,https://www.lawyershop.ca,Legal Directory,Medium,35,Not Started,No,,Canadian legal directory,Free/Paid
LexisNexis FindAExpert,https://www.lexisnexis.ca,Legal Directory,Medium,75,Not Started,No,,Professional directory,Paid
Juristries.com,https://www.juristries.com,Legal Directory,Low,40,Not Started,No,,Legal marketplace,
RateMyLawyer.ca,https://www.ratelawyer.ca,Review Site,Low,30,Not Started,No,,Lawyer reviews,
Lawyernow.ca,https://www.lawyernow.ca,Legal Directory,Low,35,Not Started,No,,Canadian directory,
CanLaw.com,https://www.canlaw.com,Legal Directory,Low,40,Not Started,No,,Canadian law directory,
ReferralKey.com,https://www.referralkey.com,Professional Network,Low,45,Not Started,No,,Referral network,
Thumbtack.com,https://www.thumbtack.com,Service Marketplace,Medium,80,Not Started,No,,Service professionals,
Bark.com,https://www.bark.com,Service Marketplace,Medium,65,Not Started,No,,Service professionals,
Guru.com,https://www.guru.com,Freelance,Low,70,Not Started,No,,If offering freelance legal services,
UpCounsel.com,https://www.upcounsel.com,Legal Marketplace,Medium,65,Not Started,No,,Online legal services,
LawTrades.com,https://www.lawtrades.com,Legal Marketplace,Low,50,Not Started,No,,Alternative legal services,
