Directory Name,URL,Category,Priority,Listing Type (Paid/Free),Status,Listing Found?,NAP Consistent?,Login Credentials,Date Checked,Date Created,Renewal Date,Notes
Apple Maps Connect,https://mapsconnect.apple.com,Map Service,High,Free,Not Started,No,N/A,Pending,2026-04-21,,,For Apple Maps listings
Foursquare for Business,https://foursquare.com/business,Location Service,Medium,Free,Not Started,No,N/A,Pending,2026-04-21,,,Location data source
MapQuest,https://www.mapquest.com,Map Service,Low,Free,Not Started,No,N/A,Pending,2026-04-21,,,Submit business location
Better Business Bureau,https://www.bbb.org,Trust Site,Medium,$400+/yr,Not Started,No,N/A,Pending,2026-04-21,,,No profile found - consider accreditation
HotFrog Canada,https://www.hotfrog.ca,General Directory,Low,Free,Not Started,No,N/A,Pending,2026-04-21,,,Free business listing
Cylex Canada,https://www.cylex.ca,General Directory,Low,Free,Not Started,No,N/A,Pending,2026-04-21,,,Free business listing
Tuugo Canada,https://www.tuugo.ca,General Directory,Low,Free,Not Started,No,N/A,Pending,2026-04-21,,,Free business listing
Canada411,https://www.canada411.ca,General Directory,Medium,Free,In Progress,Yes,Yes,Pending,2026-04-21,,,Listing exists - verify NAP consistency
LawyerShop.ca,https://www.lawyershop.ca,Legal Directory,Medium,Free/Paid,Not Started,No,N/A,Pending,2026-04-21,,,Canadian legal directory
LexisNexis FindAExpert,https://www.lexisnexis.ca,Legal Directory,Medium,Paid,Not Started,No,N/A,Pending,2026-04-21,,,Professional directory
Martindale-Hubbell,https://www.martindale.com,Legal Directory,High,Free/Paid,Not Started,No,N/A,Pending,2026-04-21,,,Peer review ratings
Super Lawyers Canada,https://www.superlawyers.ca,Legal Directory,High,Paid,Not Started,No,N/A,Pending,2026-04-21,,,Rating-based listing
Best Lawyers Canada,https://www.bestlawyers.com,Legal Directory,High,Paid,Not Started,No,N/A,Pending,2026-04-21,,,Peer review publication
Lexpert,https://www.lexpert.ca,Legal Directory,Medium,Paid,Not Started,No,N/A,Pending,2026-04-21,,,Canadian legal magazine
Canadian Legal Lexpert Directory,https://www.canadianlegaldirectory.com,Legal Directory,Medium,Paid,Not Started,No,N/A,Pending,2026-04-21,,,Annual directory
LawTimes,https://www.lawtimesnews.com,Legal News,Low,Paid,Not Started,No,N/A,Pending,2026-04-21,,,Legal news + directory
Ontario Legal Directory,https://www.ontariolegaldirectory.com,Legal Directory,Medium,Free/Paid,Not Started,No,N/A,Pending,2026-04-21,,,Provincial directory
Halton Chamber of Commerce,https://haltonchamber.org,Chamber,Medium,$300-500/yr,Not Started,No,N/A,Pending,2026-04-21,,,Halton region coverage
Mississauga Board of Trade,https://www.mississaugaboardoftrade.com,Chamber,Medium,$400+/yr,Not Started,No,N/A,Pending,2026-04-21,,,If serving Mississauga
Brampton Board of Trade,https://www.bbot.ca,Chamber,Low,$300+/yr,Not Started,No,N/A,Pending,2026-04-21,,,If serving Brampton
LinkedIn Company Page,https://www.linkedin.com,Social Media,High,Free,In Progress,Yes,N/A,Pending,2026-04-21,,,Page exists at ca.linkedin.com/company/khanllp - optimize content
Google Maps,https://www.google.com/maps,Map Service,Critical,Free,Not Started,No,N/A,Pending,2026-04-21,,,Via Google Business Profile
Waze for Business,https://www.waze.com,Map Service,Low,Free,Not Started,No,N/A,Pending,2026-04-21,,,Edit business location
Here WeGo,https://www.here.com,Map Service,Low,Free,Not Started,No,N/A,Pending,2026-04-21,,,Submit business info
,https://lso.ca/public-resources/finding-a-lawyer-or-paralegal/lawyer-and-paralegal-directory,Core Legal Directory,Medium,Free,,,,,,,,Mandatory
,https://www.canadianlawlist.com,Core Legal Directory,Medium,Free + Paid tiers,,,,,,,,Highest-authority Canadian legal directory
,https://www.lexpert.ca/directory,Core Legal Directory,Medium,Free + Paid,,,,,,,,Premium positioning signal
,https://411.ca,Canadian Business,Medium,Free,,,,,,,,Core Canadian business directory
,https://www.miltonchamber.ca,Local Chamber,Medium,Paid Membership,,,,,,,,Dofollow member link
,https://www.oakvillechamber.com,Local Chamber,Medium,Paid Membership,,,,,,,,Critical for Oakville
,https://www.justia.com,Legal Directory,Medium,Free,,,,,,,,High DR
,https://www.lawyer.com,Legal Directory,Medium,Free,,,,,,,,General attorney directory
,https://www.superlawyers.com,Legal Directory,Medium,Nomination,,,,,,,,Trust + authority signal
,https://familylawyermagazine.com,Family Law Specific,Medium,Paid,,,,,,,,Niche family law directory
,https://www.divorcemag.com,Family Law Specific,Medium,Paid,,,,,,,,Directly targets family law intent
,https://www.orea.com,Real Estate Specific,Medium,Relationship-based,,,,,,,,Ontario Real Estate Association
,https://www.trreb.ca,Real Estate Specific,Medium,Relationship-based,,,,,,,,TRREB member realtors
,https://www.reco.on.ca,Real Estate Specific,Medium,Free resource,,,,,,,,Industry resource listings
,https://www.cylex-canada.ca,Canadian Business,Medium,Free,,,,,,,,Populates downstream sites
,https://www.n49.com,Canadian Business,Medium,Free,,,,,,,,Canadian local business directory
,https://www.goldbook.ca,Canadian Business,Medium,Free,,,,,,,,Canadian business directory
,https://www.brownbook.net,Canadian Business,Medium,Free,,,,,,,,Global but indexed well in Canada
,https://www.ourbis.ca,Canadian Business,Medium,Free,,,,,,,,Canadian-specific directory
,https://www.profilecanada.com,Canadian Business,Medium,Free + Paid,,,,,,,,Business profile citation
,https://canadianbusinessdirectory.ca,Canadian Business,Medium,Free,,,,,,,,Low effort citation
,https://register.apple.com/placesonmaps,Global Business,Medium,Free,,,,,,,,Apple Maps + Siri
,https://business.foursquare.com,Global Business,Medium,Free,,,,,,,,Data aggregator
,https://www.facebook.com/business,Global Business,Medium,Free,,,,,,,,Reviews matter
,https://www.linkedin.com/company,Global Business,Medium,Free,,,,,,,,Critical for legal B2B
,https://www.milton.ca,Local Milton,Medium,Free / Community,,,,,,,,Municipal directory
,https://www.oakville.com,Local Oakville,Medium,Free + Paid,,,,,,,,Local community portal
,https://oakvillenews.org,Local Oakville,Medium,Paid / Editorial,,,,,,,,Pitch legal explainers
,https://www.blogto.com,Local Toronto,Medium,Paid / Editorial,,,,,,,,High DR Toronto authority
,https://www.toronto.com,Local Toronto,Medium,Paid,,,,,,,,Local business directory
,https://www.insidehalton.com,Local Halton,Medium,Paid / Editorial,,,,,,,,Metroland-owned
,https://www.theifp.ca,Local Halton,Medium,Editorial,,,,,,,,Editorial placements
,https://www.clio.com,Niche Legal,Medium,Free (Clio users),,,,,,,,If using Clio
,https://lawyerist.com,Niche Legal,Medium,Free,,,,,,,,Legal industry hub
,https://www.nolo.com,Niche Legal,Medium,Paid,,,,,,,,High-conversion
,https://www.lawinfo.com,Niche Legal,Medium,Free + Paid,,,,,,,,Consumer-facing
,https://www.attorneypages.com,Niche Legal,Medium,Free,,,,,,,,Low effort
,https://www.divorcenet.com,Niche Family Law,Medium,Paid,,,,,,,,Family-law specific
,https://www.divorcedmoms.com,Niche Family Law,Medium,Editorial,,,,,,,,Guest post opportunities
,https://www.reincanada.com,Niche Real Estate,Medium,Membership,,,,,,,,Canadian real estate investor network
,https://www.movesmartly.com,Niche Real Estate,Medium,Editorial,,,,,,,,Pitch guest posts on closing law topics
,https://storeys.com,Niche Real Estate,Medium,Editorial,,,,,,,,Pitch expert commentary on real estate legal trends
,https://www.neustarlocaleze.biz,Data Aggregator,Medium,Paid,,,,,,,,Powers Apple Bing Yelp
,https://www.data-axle.com,Data Aggregator,Medium,Paid,,,,,,,,Data aggregator
,https://birdeye.com,Review Platform,Medium,Paid,,,,,,,,Review aggregation platform
,https://business.instagram.com,Social,Medium,Free,,,,,,,,NAP in bio
,https://www.youtube.com,Social,Medium,Free,,,,,,,,FAQ video content
,https://www.bizhwy.com,Canadian Biz,Medium,Free,,,,,,,,Canadian business directory
,https://www.2findlocal.com,Canadian Biz,Medium,Free,,,,,,,,Canadian city-specific
,https://ca.findopen.com,Canadian Biz,Medium,Free,,,,,,,,Hours + NAP citation
,https://openinghours.ca,Canadian Biz,Medium,Free,,,,,,,,NAP + hours directory
,https://www.americanbar.org,Legal Niche,Medium,Referral,,,,,,,,ABA does not list Canadian lawyers
,https://www.cba.org,Legal Niche,Medium,Membership,,,,,,,,CBA membership
,https://haltoncountylawassociation.ca,Legal Niche,Medium,Membership,,,,,,,,Hyper-local Halton area
,https://www.peellaw.com,Legal Niche,Medium,Membership,,,,,,,,Mississauga/Brampton reach
,https://tlaonline.ca,Legal Niche,Medium,Membership,,,,,,,,Toronto legal association
,https://www.advocatedaily.com,Legal Niche,Medium,Paid,,,,,,,,Expert profile + articles
,https://www.canadianlawyermag.com,Legal Niche,Medium,Editorial,,,,,,,,Thomson Reuters
,https://www.superpages.com,Local Biz,Medium,Free,,,,,,,,YP network
,https://tupalo.com,Local Biz,Medium,Free,,,,,,,,Global local directory
,https://where.to,Local Biz,Medium,Free,,,,,,,,Canadian business citation
,https://www.bizvotes.com,Local Biz,Medium,Free,,,,,,,,General business directory
,https://localstack.com,Local Biz,Medium,Free,,,,,,,,Secondary citation fill
,https://www.expressbusinessdirectory.com,Local Biz,Medium,Free,,,,,,,,Low-effort fill
,https://www.ebusinesspages.com,Local Biz,Medium,Free,,,,,,,,Volume citation
,https://www.kijiji.ca,Local Biz,Medium,Free/Paid,,,,,,,,Canadian classified
,https://www.elocal.com,Local Biz,Medium,Paid Lead-Gen,,,,,,,,Paid lead-gen platform
,https://www.alignable.com,Community,Medium,Free,,,,,,,,Small business network
,https://business.nextdoor.com,Community,Medium,Free,,,,,,,,Hyper-local neighborhood reach
,https://www.meetup.com,Community,Medium,Free,,,,,,,,Host free events
