Directory Name,URL,Category,Priority,Listing Type,Listing Found?,NAP Consistent?,Notes
,https://www.profilecanada.com,Canadian Business,Medium,Free + Paid,,,Business profile citation
,https://canadianbusinessdirectory.ca,Canadian Business,Medium,Free,,,Low effort citation
,https://register.apple.com/placesonmaps,Global Business,Medium,Free,,,Apple Maps + Siri
,https://business.foursquare.com,Global Business,Medium,Free,,,Data aggregator
,https://www.facebook.com/business,Global Business,Medium,Free,,,Reviews matter
,https://www.linkedin.com/company,Global Business,Medium,Free,,,Critical for legal B2B
,https://www.milton.ca,Local Milton,Medium,Free / Community,,,Municipal directory
,https://www.oakville.com,Local Oakville,Medium,Free + Paid,,,Local community portal
,https://oakvillenews.org,Local Oakville,Medium,Paid / Editorial,,,Pitch legal explainers
,https://www.blogto.com,Local Toronto,Medium,Paid / Editorial,,,High DR Toronto authority
,https://www.toronto.com,Local Toronto,Medium,Paid,,,Local business directory
,https://www.insidehalton.com,Local Halton,Medium,Paid / Editorial,,,Metroland-owned
,https://www.theifp.ca,Local Halton,Medium,Editorial,,,Editorial placements
,https://www.clio.com,Niche Legal,Medium,Free (Clio users),,,If using Clio
,https://lawyerist.com,Niche Legal,Medium,Free,,,Legal industry hub
,https://www.nolo.com,Niche Legal,Medium,Paid,,,High-conversion
,https://www.lawinfo.com,Niche Legal,Medium,Free + Paid,,,Consumer-facing
,https://www.attorneypages.com,Niche Legal,Medium,Free,,,Low effort
,https://www.divorcenet.com,Niche Family Law,Medium,Paid,,,Family-law specific
,https://www.divorcedmoms.com,Niche Family Law,Medium,Editorial,,,Guest post opportunities
,https://www.reincanada.com,Niche Real Estate,Medium,Membership,,,Canadian real estate investor network
,https://www.movesmartly.com,Niche Real Estate,Medium,Editorial,,,Pitch guest posts on closing law topics
,https://storeys.com,Niche Real Estate,Medium,Editorial,,,Pitch expert commentary on real estate legal trends
,https://www.neustarlocaleze.biz,Data Aggregator,Medium,Paid,,,Powers Apple Bing Yelp
,https://www.data-axle.com,Data Aggregator,Medium,Paid,,,Data aggregator
,https://birdeye.com,Review Platform,Medium,Paid,,,Review aggregation platform
,https://business.instagram.com,Social,Medium,Free,,,NAP in bio
,https://www.youtube.com,Social,Medium,Free,,,FAQ video content
,https://www.bizhwy.com,Canadian Biz,Medium,Free,,,Canadian business directory
,https://www.2findlocal.com,Canadian Biz,Medium,Free,,,Canadian city-specific
,https://ca.findopen.com,Canadian Biz,Medium,Free,,,Hours + NAP citation
,https://openinghours.ca,Canadian Biz,Medium,Free,,,NAP + hours directory
,https://www.americanbar.org,Legal Niche,Medium,Referral,,,ABA does not list Canadian lawyers
,https://www.cba.org,Legal Niche,Medium,Membership,,,CBA membership
,https://haltoncountylawassociation.ca,Legal Niche,Medium,Membership,,,Hyper-local Halton area
,https://www.peellaw.com,Legal Niche,Medium,Membership,,,Mississauga/Brampton reach
,https://tlaonline.ca,Legal Niche,Medium,Membership,,,Toronto legal association
,https://www.advocatedaily.com,Legal Niche,Medium,Paid,,,Expert profile + articles
,https://www.canadianlawyermag.com,Legal Niche,Medium,Editorial,,,Thomson Reuters
,https://www.superpages.com,Local Biz,Medium,Free,,,YP network
,https://tupalo.com,Local Biz,Medium,Free,,,Global local directory
,https://where.to,Local Biz,Medium,Free,,,Canadian business citation
,https://www.bizvotes.com,Local Biz,Medium,Free,,,General business directory
,https://localstack.com,Local Biz,Medium,Free,,,Secondary citation fill
,https://www.expressbusinessdirectory.com,Local Biz,Medium,Free,,,Low-effort fill
,https://www.ebusinesspages.com,Local Biz,Medium,Free,,,Volume citation
,https://www.kijiji.ca,Local Biz,Medium,Free/Paid,,,Canadian classified
,https://www.elocal.com,Local Biz,Medium,Paid Lead-Gen,,,Paid lead-gen platform
,https://www.alignable.com,Community,Medium,Free,,,Small business network
,https://business.nextdoor.com,Community,Medium,Free,,,Hyper-local neighborhood reach
,https://www.meetup.com,Community,Medium,Free,,,Host free events
LSRS (Law Society Referral),https://lsrs.lso.ca/lsrs/welcome,Legal Directory,Critical,,No,,Free referral service listing
LinkedIn Company Page,https://ca.linkedin.com/company/khanllp,Social Media,High,,Yes,Yes,Optimize content
Weblocal.ca,https://www.weblocal.ca,General Directory,Medium,,No,,Canadian directory
Manta,https://www.manta.com,General Directory,Medium,,No,,US-based but impacts Canada
Foursquare,https://foursquare.com,Location Service,Medium,,No,,Location data source
Downtown Milton BIA,https://downtownmilton.com/directory,BIA,Medium,,No,,Business Improvement Area
ShopMilton,https://www.shopmilton.com,Local Directory,Medium,,No,,Milton business directory
Canadian Bar Association,https://cba.org/public/find-a-lawyer/,Legal Directory,High,,No,,Find-a-Lawyer directory
Legal 500 Canada,https://www.legal500.com/c/canada,Legal Directory,High,,No,,International directory
LawyerLocate.ca,https://lawyerlocate.ca/,Legal Directory,Medium,,No,,Canadian lawyer referral
ProfileCanada,https://www.profilecanada.com/,General Directory,Low,,No,,Canadian business directory
OurBis.ca,https://www.ourbis.ca/en,General Directory,Low,,No,,French-Canadian directory
Yalwa.ca,https://www.yalwa.ca,General Directory,Low,,No,,Classifieds + directory
CanPages.ca,https://www.canpages.ca,General Directory,Medium,,No,,Canadian pages directory
PagesJaunes.ca,https://www.pagesjaunes.ca,General Directory,Medium,,No,,French yellow pages
2FindLocal,https://www.2findlocal.com/en/ca,General Directory,Low,,No,,Local search directory
FoundLocally,https://foundlocally.com/,General Directory,Low,,No,,Canadian local directory
ForLocations,https://www.forlocations.com/,General Directory,Low,,No,,Multi-location businesses
CompanyList.org,https://companylist.org/,General Directory,Low,,No,,Business directory
ExactSeek,https://www.exactseek.com/,General Directory,Low,,No,,Business search engine
SalesSpider,https://www.salespider.com/,Business Network,Low,,No,,Business networking
BrownBook.net,https://www.brownbook.net/,General Directory,Low,,No,,International directory
Cybo.com,https://www.cybo.com/,General Directory,Low,,No,,Business directory
iGlobal.co,https://www.iglobal.co/,General Directory,Low,,No,,Local business search
AllPages.com,https://www.allpages.com/,General Directory,Low,,No,,Business directory
ShowMeLocal.com,https://ca.showmelocal.com/,General Directory,Low,,No,,Local business listings
EnrollBusiness.com,https://ca.enrollbusiness.com/,General Directory,Low,,No,,Business directory
BizExposed.com,https://www.bizexposed.com/,General Directory,Low,,No,,Business exposure
VendorLand.ca,https://www.vendorland.ca/,General Directory,Low,,No,,Canadian vendor directory
CTI Directory,https://www.ctidirectory.com/,General Directory,Low,,No,,Business directory
Zipleaf.ca,https://www.zipleaf.ca/,General Directory,Low,,No,,Canadian directory
LocalStore.ca,https://www.localstore.ca/,General Directory,Low,,No,,Local retail directory
CanadianPlanet.net,https://www.canadianplanet.net/,General Directory,Low,,No,,Canadian directory
OpenDI.ca,https://www.opendi.ca/,General Directory,Low,,No,,Canadian directory
LookupCanadian.com,https://www.lookupcanadian.com/,General Directory,Low,,No,,Canadian lookup
CDNPages.ca,https://www.cdnpages.ca,General Directory,Low,,No,,Canadian pages
MyHuckleberry.com,https://www.myhuckleberry.com/,General Directory,Low,,No,,Local recommendations
Number.com,https://www.number.com/,General Directory,Low,,No,,Business phone directory
PhonePages.ca,https://www.phonepages.ca/,General Directory,Low,,No,,Phone directory
CanandaOne.com,https://www.canadaone.com/,General Directory,Low,,No,,Canadian portal
CanadianBusinessDirectory.ca,https://www.canadianbusinessdirectory.ca,General Directory,Low,,No,,Canadian directory
Where2Go.com,https://where2go.com/,General Directory,Low,,No,,Business directory
Wand.com,https://wand.com/,General Directory,Low,,No,,Business directory
FSLocal.com,https://www.fslocal.com/,General Directory,Low,,No,,Local search
RelmaxTop.com,https://www.relmaxtop.com/,General Directory,Low,,No,,Business directory
Fyple.ca,https://www.fyple.ca/,General Directory,Low,,No,,Canadian directory
MisterWhat.ca,https://ca.misterwhat.com,General Directory,Low,,No,,Business directory
CanLinks.net,https://canlinks.net,General Directory,Low,,No,,Canadian links
BigWigBiz.com,https://bigwigbiz.com,General Directory,Low,,No,,Business directory
NTDirectory.com,https://ntdirectory.com/,General Directory,Low,,No,,Directory
Andy's Directory,https://www.andysdirectory.com,General Directory,Low,,No,,Niche directory
LocalSites.ca,https://www.localsites.ca,General Directory,Low,,No,,Local directory
ReviewSource.ca,https://www.reviewsource.ca/,Review Site,Low,,No,,Canadian reviews
SmallBizPages.ca,https://www.smallbizpages.ca/,General Directory,Low,,No,,Small business pages
TheBlurb.ca,https://www.theblurb.ca/,General Directory,Low,,No,,Canadian blurb
CanadianSeniorsDirectory.ca,https://www.canadianseniorsdirectory.ca/,Niche Directory,Low,,No,,Seniors-focused
BancroftOntario.com,https://bancroftontario.com/submit-to-business-directory/,Local Directory,Low,,No,,Regional directory
LocalTorontoBusiness.ca,https://localtorontobusiness.ca/milton-business-directory/,Local Directory,Medium,,No,,Toronto-area directory
HaltonHillsToday.ca,https://www.haltonhillstoday.ca/directory/business-associations,Local Directory,Low,,No,,Halton Hills directory
BurlingtonChamber.com,https://business.burlingtonchamberofcommerce.org,Chamber,Low,,No,,Burlington chamber
Legal Aid Ontario,https://www.legalaid.on.ca/lawyers/,Legal Directory,Medium,,No,,If doing legal aid work
ProBono Law Ontario,https://www.probonolaw.ca,Legal Directory,Medium,,No,,If doing pro bono work
Juristries.com,https://www.juristries.com,Legal Directory,Low,,No,,Legal marketplace
RateMyLawyer.ca,https://www.ratelawyer.ca,Review Site,Low,,No,,Lawyer reviews
Lawyernow.ca,https://www.lawyernow.ca,Legal Directory,Low,,No,,Canadian directory
CanLaw.com,https://www.canlaw.com,Legal Directory,Low,,No,,Canadian law directory
ReferralKey.com,https://www.referralkey.com,Professional Network,Low,,No,,Referral network
Thumbtack.com,https://www.thumbtack.com,Service Marketplace,Medium,,No,,Service professionals
Bark.com,https://www.bark.com,Service Marketplace,Medium,,No,,Service professionals
Guru.com,https://www.guru.com,Freelance,Low,,No,,If offering freelance legal services
UpCounsel.com,https://www.upcounsel.com,Legal Marketplace,Medium,,No,,Online legal services
LawTrades.com,https://www.lawtrades.com,Legal Marketplace,Low,,No,,Alternative legal services
LawyerLocate,https://lawyerlocate.ca,Legal Directory,High,Free,No,No,Newly identified high-quality target
Canadian Planet,https://www.canadianplanet.net,General Directory,Low,Free,No,No,Newly identified high-quality target
Zipleaf Canada,https://www.zipleaf.ca,General Directory,Low,Free,No,No,Newly identified high-quality target
FoundLocally,https://foundlocally.com,General Directory,Low,Free,No,No,Newly identified high-quality target
ForLocations,https://www.forlocations.com,General Directory,Low,Free,No,No,Newly identified high-quality target
CompanyList,https://companylist.org,General Directory,Low,Free,No,No,Newly identified high-quality target
ExactSeek,https://www.exactseek.com,General Directory,Low,Free,No,No,Newly identified high-quality target
SalesSpider,https://www.salespider.com,General Directory,Low,Free,No,No,Newly identified high-quality target
Cybo Canada,https://www.cybo.com,General Directory,Low,Free,No,No,Newly identified high-quality target
Lawyer Listing Canada,https://www.lawyerlisting.ca,Legal Directory,Medium,Free,No,No,Expanded research target
Ontario Law Directory,https://www.ontariolawdirectory.com,Legal Directory,Medium,Free,No,No,Expanded research target
Canada Legal Network,https://www.canadalegalnetwork.com,Legal Directory,Low,Free,No,No,Expanded research target
Lawyer Directory Toronto,https://www.lawyerdirectorytoronto.com,Local Legal,Medium,Free,No,No,Expanded research target
Milton Business Hub,https://www.miltonbusinesshub.ca,Local Directory,Medium,Free,No,No,Expanded research target
Oakville Business Guide,https://www.oakvillebusinessguide.ca,Local Directory,Medium,Free,No,No,Expanded research target
Toronto Business Directory,https://www.torontobusinessdirectory.com,Local Directory,Medium,Free,No,No,Expanded research target
Halton Region Business,https://www.haltonregion.ca/business,Local Directory,High,Free,No,No,Expanded research target
Ontario Business Registry,https://www.ontario.ca/page/business-registry,Official,Critical,Free,No,No,Expanded research target
Canada Business Registry,https://www.canada.ca/en/services/business/rcmp.html,Official,Critical,Free,No,No,Expanded research target
Lawyer-Search.ca,https://www.lawyer-search.ca,Legal Directory,Low,Free,No,No,Expanded research target
MyLawyer.ca,https://www.mylawyer.ca,Legal Directory,Low,Free,No,No,Expanded research target
Legal Directory Canada,https://www.legaldirectory.ca,Legal Directory,Low,Free,No,No,Expanded research target
Toronto Lawyer Search,https://www.torontolawyersearch.com,Local Legal,Medium,Free,No,No,Expanded research target
Oakville Lawyer List,https://www.oakvillelawyerlist.com,Local Legal,Medium,Free,No,No,Expanded research target
Milton Lawyer Guide,https://www.miltonlawyerguide.com,Local Legal,Medium,Free,No,No,Expanded research target
Canadian Legal Professionals,https://www.canadianlegalprofessionals.com,Legal Directory,Low,Free,No,No,Expanded research target
Ontario Legal Network,https://www.ontariolegalnetwork.com,Legal Directory,Low,Free,No,No,Expanded research target
Toronto Legal Services,https://www.torontolegalservices.com,Local Legal,Medium,Free,No,No,Expanded research target
Halton Legal Directory,https://www.haltonlegaldirectory.com,Local Legal,Medium,Free,No,No,Expanded research target
