Directory Name,URL,Category,Priority,Cost,Status,Listing Found?,NAP Consistent?,Login Credentials,Date Checked,Date Created,Renewal Date,Notes
Foursquare for Business,https://foursquare.com/business,Location Service,Medium,Free,Not Started,No,N/A,Pending,2026-04-21,,,Location data source
MapQuest,https://www.mapquest.com,Map Service,Low,Free,Not Started,No,N/A,Pending,2026-04-21,,,Submit business location
Better Business Bureau,https://www.bbb.org,Trust Site,Medium,$400+/yr,Not Started,No,N/A,Pending,2026-04-21,,,No profile found - consider accreditation
HotFrog Canada,https://www.hotfrog.ca,General Directory,Low,Free,Not Started,No,N/A,Pending,2026-04-21,,,Free business listing
Cylex Canada,https://www.cylex.ca,General Directory,Low,Free,Not Started,No,N/A,Pending,2026-04-21,,,Free business listing
Tuugo Canada,https://www.tuugo.ca,General Directory,Low,Free,Not Started,No,N/A,Pending,2026-04-21,,,Free business listing
Canada411,https://www.canada411.ca,General Directory,Medium,Free,In Progress,Yes,Yes,Pending,2026-04-21,,,Listing exists - verify NAP consistency
LawyerShop.ca,https://www.lawyershop.ca,Legal Directory,Medium,Free/Paid,Not Started,No,N/A,Pending,2026-04-21,,,Canadian legal directory
LexisNexis FindAExpert,https://www.lexisnexis.ca,Legal Directory,Medium,Paid,Not Started,No,N/A,Pending,2026-04-21,,,Professional directory
Martindale-Hubbell,https://www.martindale.com,Legal Directory,High,Free/Paid,Not Started,No,N/A,Pending,2026-04-21,,,Peer review ratings
Super Lawyers Canada,https://www.superlawyers.ca,Legal Directory,High,Paid,Not Started,No,N/A,Pending,2026-04-21,,,Rating-based listing
Best Lawyers Canada,https://www.bestlawyers.com,Legal Directory,High,Paid,Not Started,No,N/A,Pending,2026-04-21,,,Peer review publication
Lexpert,https://www.lexpert.ca,Legal Directory,Medium,Paid,Not Started,No,N/A,Pending,2026-04-21,,,Canadian legal magazine
Canadian Legal Lexpert Directory,https://www.canadianlegaldirectory.com,Legal Directory,Medium,Paid,Not Started,No,N/A,Pending,2026-04-21,,,Annual directory
LawTimes,https://www.lawtimesnews.com,Legal News,Low,Paid,Not Started,No,N/A,Pending,2026-04-21,,,Legal news + directory
Ontario Legal Directory,https://www.ontariolegaldirectory.com,Legal Directory,Medium,Free/Paid,Not Started,No,N/A,Pending,2026-04-21,,,Provincial directory
Halton Chamber of Commerce,https://haltonchamber.org,Chamber,Medium,$300-500/yr,Not Started,No,N/A,Pending,2026-04-21,,,Halton region coverage
Mississauga Board of Trade,https://www.mississaugaboardoftrade.com,Chamber,Medium,$400+/yr,Not Started,No,N/A,Pending,2026-04-21,,,If serving Mississauga
Brampton Board of Trade,https://www.bbot.ca,Chamber,Low,$300+/yr,Not Started,No,N/A,Pending,2026-04-21,,,If serving Brampton
LinkedIn Company Page,https://www.linkedin.com,Social Media,High,Free,In Progress,Yes,N/A,Pending,2026-04-21,,,Page exists at ca.linkedin.com/company/khanllp - optimize content
Google Maps,https://www.google.com/maps,Map Service,Critical,Free,Not Started,No,N/A,Pending,2026-04-21,,,Via Google Business Profile
Waze for Business,https://www.waze.com,Map Service,Low,Free,Not Started,No,N/A,Pending,2026-04-21,,,Edit business location
Here WeGo,https://www.here.com,Map Service,Low,Free,Not Started,No,N/A,Pending,2026-04-21,,,Submit business info
