Lead ID,Date Added,Business Name,Contact Person,Phone,Website,Address,Industry,Target City,Pain Points,Proposed Solution,Grade,Status,Email Draft,Responded,Meeting Scheduled,Closed,Notes
RR-USA-20260508-016,2026-05-08,Hendershot Cowart P.C.,,,512-900-5358,hchlawyers.com,San Antonio/Houston TX,Law Firm (Business Healthcare),Houston,Large site with good content but slow loading complex navigation missing FAQ schema for practice areas,Speed optimization simplified navigation FAQ schema per practice area content clustering,A,New Lead,"Hendershot Cowart has helped hundreds of Texas businesses since the 1980s but your large website loads slowly and has complex navigation that may frustrate potential clients. We help law firms improve site performance and user experience. Can we talk?",No,,,35+ year Texas business law firm
RR-USA-20260508-017,2026-05-08,The Coquat Law Firm,Justin Coquat,,coquatlawfirm.com,San Antonio TX,Law Firm (Probate Business IP),Houston,Outdated design no mobile optimization missing schema no content marketing,Modern responsive design structured data implementation probate law content marketing,B,New Lead,"The Coquat Law Firm has a strong family-first approach but your website design looks outdated and isn't mobile-friendly. We help San Antonio law firms modernize their websites while keeping their brand values intact. Want to see what's possible?",No,,,San Antonio probate and business law
RR-USA-20260508-018,2026-05-08,Gravely Law,,,gravelylaw.com,San Antonio TX,Law Firm (Construction Defects),Houston,Thin website no blog missing construction defect specific content weak local presence,Construction law content hub defect case studies local SEO campaign schema markup,B,New Lead,"Gravely Law works with commercial property owners on construction defects but your website has thin content and weak local SEO in San Antonio. We help niche law firms build authority content that attracts the right clients. Interested?",No,,,Construction defect law firm
RR-USA-20260508-019,2026-05-08,Stacy Cole Law,Stacy Cole,214-800-5199,stacycolelaw.com,Dallas TX,Law Firm (Corporate Business),Houston,Basic site limited content no schema no blog,Full rebuild content marketing structured data local SEO,C,New Lead,"Stacy Cole Law serves Dallas startups and small businesses but your website is basic and lacks the content needed to attract organic traffic. We help Dallas law firms build SEO-focused websites. Can we talk about your goals?",No,,,Dallas corporate law firm
RR-USA-20260508-020,2026-05-08,Midtown Law,,602-900-9333,midtownlawaz.com,Phoenix AZ,Law Firm (Small Business Cannabis),Phoenix,Creative design but slow loading excessive animations missing schema thin practice area content,Performance optimization schema markup expanded practice content cannabis law SEO,A,New Lead,"Midtown Law has a creative 'not your father's law firm' vibe but your website's animations slow down loading and hurt Google rankings. We help modern law firms balance creativity with SEO performance. Want a free audit?",No,,,Phoenix business and cannabis law
RR-USA-20260508-021,2026-05-08,Jenkins Law Firm,,602-283-9868,thejenkinslawfirm.com,Phoenix AZ,Law Firm (Small Business Contracts),Phoenix,Outdated design no mobile optimization missing blog weak call-to-actions,Modern redesign mobile-first approach content marketing conversion optimization,B,New Lead,"Jenkins Law Firm helps Phoenix small businesses stay compliant but your website looks outdated and isn't mobile-friendly. We help Arizona law firms modernize their sites and attract more local clients. Interested in a redesign?",No,,,Phoenix small business law firm
RR-USA-20260508-022,2026-05-08,Denton Peterson Dunn,,480-325-9900,arizonabusinesslawyeraz.com,Phoenix AZ,Law Firm (Business Corporate),Phoenix,Good content but slow WordPress hosting missing FAQ schema no chat feature weak attorney profiles,Speed optimization FAQ schema live chat enhanced attorney bio pages,A,New Lead,"Denton Peterson Dunn offers top-rated Arizona business law services but your WordPress site loads slowly and lacks FAQ schema that helps Google show your answers directly in search results. We help Phoenix law firms fix these issues. Can we chat?",No,,,Phoenix business law since 1995
RR-USA-20260508-023,2026-05-08,Dempsey & Fouts,,,dempseyfouts.com,Phoenix AZ,Law Firm (Small Business),Phoenix,Squarespace site (limited SEO) thin content no blog missing local schema,SEO-optimized migration content expansion local schema markup blog strategy,B,New Lead,"Dempsey & Fouts provides practical small business legal guidance in Phoenix but your Squarespace site limits how well you can rank on Google. We help law firms migrate to SEO-friendly platforms without losing their brand. Interested?",No,,,Phoenix small business attorneys
RR-USA-20260508-024,2026-05-08,Kadish & Associates,,,emkadish.com,Phoenix AZ,Law Firm (Small Business),Phoenix,Very basic site no content marketing missing schema poor mobile experience,Complete rebuild with SEO focus content marketing program structured data,C,New Lead,"Kadish & Associates helps Phoenix small businesses but your website is very basic and lacks the content needed to compete in local search. We help Arizona law firms build comprehensive digital presences. Want to learn more?",No,,,Phoenix business law firm
RR-USA-20260508-025,2026-05-08,Hudspeth Law Firm,Donald Hudspeth,866-696-2033,azbuslaw.com,Phoenix AZ,Law Firm (Business),Phoenix,Good content but complex navigation slow loading no chat missing video schema,Navigation simplification speed optimization live chat video content SEO,A,New Lead,"Hudspeth Law Firm has impressive media recognition but your website's complex navigation and slow loading may frustrate potential clients. We help Phoenix law firms streamline their sites for better user experience and SEO. Can we discuss?",No,,,Phoenix business law firm with worldwide reach
RR-USA-20260508-026,2026-05-08,Andy's Plumbing & Heating,,,andysplumbingandheatinginc.com,Philadelphia PA,Plumbing/HVAC,Philadelphia,Basic template site no schema thin content no online booking,Custom site with SEO structured data online scheduling content marketing,C,New Lead,"Andy's Plumbing & Heating serves Philadelphia but your website is a basic template with no online booking feature. We build custom plumbing sites that help you get found on Google and book appointments 24/7. Interested?",No,,,Philadelphia plumbing and HVAC
RR-USA-20260508-027,2026-05-08,Dream Team Home Services,,,dreamteampa.com,Philadelphia PA,HVAC/Plumbing/Electrical,Philadelphia,Good branding but missing local SEO no schema thin service pages,Local SEO campaign schema markup expanded service content review management,B,New Lead,"Dream Team Home Services has great branding as a one-stop shop but your website lacks the local SEO to compete with bigger Philadelphia home service companies. We help local contractors dominate their service areas. Want a free audit?",No,,,Philadelphia home services company
RR-USA-20260508-028,2026-05-08,Duca and Associates,,,ducaassociates.com,Philadelphia PA,Accounting/Tax,Philadelphia,Outdated site no blog missing accounting schema weak mobile experience,Modern redesign accounting content marketing schema markup mobile optimization,C,New Lead,"Duca and Associates provides Philadelphia accounting services but your website looks outdated and lacks mobile optimization. We help professional service firms modernize their digital presence. Can we chat about your site?",No,,,Philadelphia accounting firm
RR-USA-20260508-029,2026-05-08,LK Miller Inc,,,lkmillerinc.com,Philadelphia PA,Dental Construction,Philadelphia,Niche specialty with limited content no portfolio SEO missing local schema,Portfolio case studies with SEO dental construction content hub schema markup,B,New Lead,"LK Miller specializes in dental office construction across Philadelphia but your website lacks portfolio SEO and content that showcases your expertise. We help niche contractors build authority online. Interested in learning more?",No,,,Philadelphia dental construction specialist
RR-USA-20260508-030,2026-05-08,Criss Law Group,,214-347-8195,criss-law.com,Dallas/San Antonio TX,Law Firm (Small Business),San Antonio,Thin content no blog missing schema weak local SEO for San Antonio,Content expansion business law blog schema markup San Antonio local SEO,B,New Lead,"Criss Law Group serves small businesses in Dallas and San Antonio but your website has thin content and no blog to attract organic traffic. We help Texas law firms build content that ranks and converts. Want to discuss?",No,,,Dallas/San Antonio small business law
RR-USA-20260508-031,2026-05-08,Stacy Cole Law,Stacy Cole,214-800-5199,stacycolelaw.com,Dallas TX,Law Firm (Corporate Business),San Antonio,Basic site limited content no schema no blog,Full rebuild content marketing structured data local SEO,C,New Lead,"Stacy Cole Law helps Dallas startups and small businesses but your website is basic and lacks the content needed to compete in search results. We help Texas law firms build SEO-focused websites. Can we talk about your goals?",No,,,Dallas corporate law firm
RR-USA-20260508-032,2026-05-08,Brandy Austin Law Firm,,,brandyaustinlaw.com,Dallas/Fort Worth TX,Law Firm (Family PI Business),San Antonio,Heavy design slows loading no schema missing chat thin blog,Performance optimization schema markup chatbot content calendar,A,New Lead,"Brandy Austin Law Firm handles thousands of cases across Texas but your website's heavy design slows loading and may hurt Google rankings. We help law firms optimize performance while keeping strong branding. Interested in an audit?",No,,,Award-winning Texas law firm
RR-USA-20260508-033,2026-05-08,McGregor & Oblad PLLC,,,mcgregorfirm.com,Dallas TX,Law Firm (Dental Law),San Antonio,Niche firm with thin content no blog missing dental law specific SEO,Dental law content hub practice acquisition guides schema markup,B,New Lead,"McGregor & Oblad specializes in dental law in Dallas but your website has thin content and no resources to attract dental professionals. We help niche law firms build content hubs that establish authority. Want to learn more?",No,,,Dallas dental law specialists
RR-USA-20260508-034,2026-05-08,Cokinos Law,,,cokinoslaw.com,San Antonio TX,Law Firm (Construction),San Antonio,Attorney profile focused but thin service content no blog missing schema,Service content expansion construction law blog structured data,B,New Lead,"Cokinos Law has strong attorney profiles but your service pages are thin and lack the content needed to attract construction clients through search. We help law firms expand their service content for better SEO. Can we chat?",No,,,San Antonio construction law
RR-USA-20260508-035,2026-05-08,Karlin Law Firm,,888-698-8932,karlinlaw.com,San Diego CA,Law Firm (ADA Defense),San Diego,Content-heavy but slow no schema missing FAQ for ADA topics,Speed optimization FAQ schema ADA compliance content hub,B,New Lead,"Karlin Law Firm fights ADA lawsuits nationwide from San Diego but your content-heavy site loads slowly and lacks FAQ schema that could help you rank for ADA-related questions. We help law firms optimize for both speed and search. Interested?",No,,,San Diego ADA defense law firm
RR-USA-20260508-036,2026-05-08,Business Attorney San Diego,,619-528-2202,businessattorneysandiego.com,San Diego CA,Law Firm (Business),San Diego,Basic site thin content no blog missing schema,Full SEO rebuild business law content schema markup local SEO,C,New Lead,"Your San Diego business law practice has a basic website that lacks the content and SEO needed to compete with larger firms. We help solo and small law practices build digital presences that attract clients. Want a free consultation?",No,,,San Diego business attorney
RR-USA-20260508-037,2026-05-08,Odgers Law Group,,,odgerslawgroup.com,San Diego CA,Law Firm (Dental Veterinary),San Diego,Good niche but thin content no blog missing practice transition guides,Practice transition content hub dental/vet law blog schema markup,B,New Lead,"Odgers Law Group serves dental and veterinary professionals but your website lacks the specialized content needed to attract these niche clients. We help practice-focused law firms build authority content. Can we discuss?",No,,,San Diego practice transition law
RR-USA-20260508-038,2026-05-08,Nick Heimlich Law,Nicholas Heimlich,408-457-9364,nickheimlichlaw.com,San Jose CA,Law Firm (Business Franchise),San Jose,Good content but slow loading missing schema no chat thin local SEO,Speed optimization schema markup live chat San Jose local SEO,A,New Lead,"Nick Heimlich Law serves San Jose businesses and franchises but your website loads slowly and lacks the local SEO to compete in Silicon Valley searches. We help San Jose law firms improve performance and visibility. Want a free audit?",No,,,San Jose business attorney
RR-USA-20260508-039,2026-05-08,Ridgely Davis Law,,,ridgelydavislawfirm.com,Dallas TX,Law Firm (Collections Business),Dallas,Thin content no blog missing schema weak local presence,Content marketing collections law blog schema Dallas local SEO,B,New Lead,"Ridgely Davis Law helps Texas small businesses with collections but your website has thin content and weak local SEO in Dallas. We help law firms build content that attracts the right clients. Want to learn more?",No,,,Dallas collections law firm
RR-USA-20260508-040,2026-05-08,Miller Nash,,,millernash.com,Portland/Dallas TX,Law Firm (Business Litigation),Dallas,Large firm site with slow pages complex navigation no chat,Speed optimization simplified UX chatbot content clustering,A,New Lead,"Miller Nash is a large regional firm but your website has slow pages and complex navigation that may frustrate potential clients. We help law firms streamline user experience while maintaining comprehensive content. Can we discuss?",No,,,Regional business law firm
RR-USA-20260508-041,2026-05-08,Herman Goldner Co.,,,goldner.com,Philadelphia PA,Mechanical/HVAC,Philadelphia,Browser unsupported warning outdated design poor mobile,Complete modernization project case studies mobile-first design,A,New Lead,"Herman Goldner has been a Philadelphia institution since 1887 but your website's 'browser unsupported' warning and outdated design may turn away modern clients. We help legacy companies modernize digitally. Interested in a redesign?",No,,,138-year mechanical contractor
RR-USA-20260508-042,2026-05-08,Sam Wexler Plumbing,,267-668-4806,samwexlerplumbing.com,Philadelphia PA,Plumbing,Philadelphia,Hibu template limits SEO slow loading no service area schema,Custom website with full SEO control service area pages speed optimization,B,New Lead,"Sam Wexler Plumbing has won Best of Philly awards but your Hibu-built website limits your Google ranking potential. We build custom plumbing sites that load fast and convert better. Want to see what's possible?",No,,,Award-winning Philadelphia plumber
RR-USA-20260508-043,2026-05-08,The Plumbing Department,,773-617-3686,plumbingdept.com,Chicago IL,Plumbing,Chicago,Basic WordPress no schema thin service content missing emergency pages,Schema markup expanded content emergency landing page reviews,B,New Lead,"The Plumbing Department is known for reliability in Chicago but your website lacks emergency service pages and schema that help you show up when pipes burst at 2am. We help plumbers capture emergency searches. Can we chat?",No,,,Chicago's trusted plumbing experts
RR-USA-20260508-044,2026-05-08,Adkins Lawyers,,,adkinslawyers.com,Dallas/Houston TX,Law Firm (Small Business),Dallas,Thin service pages no blog missing Dallas-specific local SEO,Content expansion Dallas local SEO business law blog lead forms,B,New Lead,"Adkins Lawyers helps small businesses across Texas but your website has thin service pages and no content to attract Dallas-area clients organically. We help Texas law firms build local SEO strategies. Interested?",No,,,Texas small business attorneys
RR-USA-20260508-045,2026-05-08,Hendershot Cowart,,512-900-5358,hchlawyers.com,Houston/San Antonio TX,Law Firm (Business Healthcare),Dallas,Slow loading complex navigation missing FAQ schema,Speed optimization simplified nav FAQ schema content clustering,A,New Lead,"Hendershot Cowart has helped hundreds of Texas healthcare providers but your website's slow loading and complex navigation may frustrate busy medical professionals. We help law firms optimize for better user experience. Can we talk?",No,,,Texas healthcare and business law
RR-USA-20260508-046,2026-05-08,Brandy Austin Law,,,brandyaustinlaw.com,Dallas/Fort Worth TX,Law Firm (Family PI Business),Dallas,Heavy design slows loading no schema missing chat thin blog,Performance optimization schema chatbot content calendar,A,New Lead,"Brandy Austin Law has won multiple awards but your website's heavy design elements slow down loading and hurt search rankings. We help award-winning firms maintain their brand while optimizing for speed and SEO. Want an audit?",No,,,Multi-award winning Texas law firm
RR-USA-20260508-047,2026-05-08,Criss Law Group,,214-347-8195,criss-law.com,Dallas TX,Law Firm (Small Business),Dallas,Thin content no blog missing schema weak Dallas local SEO,Content expansion business law blog schema Dallas local SEO,B,New Lead,"Criss Law Group serves Dallas small businesses but your website lacks the content and local SEO needed to compete with bigger firms. We help Dallas law practices build digital authority. Interested in learning more?",No,,,Dallas small business attorneys
RR-USA-20260508-048,2026-05-08,Miller Nash,,,millernash.com,Portland/Dallas TX,Law Firm (Business Litigation),Dallas,Large firm with slow pages complex navigation no chat,Speed optimization simplified UX chatbot content clustering,A,New Lead,"Miller Nash operates across multiple states but your website's complexity and slow loading may hurt conversions. We help multi-state law firms streamline their digital presence. Can we discuss improvements?",No,,,Multi-state business law firm
RR-USA-20260508-049,2026-05-08,Nick Heimlich Law,Nicholas Heimlich,408-457-9364,nickheimlichlaw.com,San Jose CA,Law Firm (Business Franchise),San Jose,Good content but slow missing schema no chat thin local SEO,Speed optimization schema markup live chat San Jose local SEO,A,New Lead,"Nick Heimlich Law serves San Jose businesses and franchises but your website loads slowly and lacks the local SEO to compete in Silicon Valley searches. We help San Jose law firms improve performance and visibility. Want a free audit?",No,,,San Jose business attorney
RR-USA-20260508-050,2026-05-08,Ryan-Cruz Law,Ruth Ryan-Cruz,619-528-2202,ryancruzlaw.com,San Diego CA,Law Firm (Business Real Estate IP),San Jose,Slider slows loading no schema thin blog missing Spanish content,Static hero schema implementation bilingual strategy legal blog,A,New Lead,"Ryan-Cruz Law offers bilingual services in San Diego but your website's slider slows loading and you have no Spanish SEO pages. We help law firms optimize for speed and reach Spanish-speaking audiences. Interested in an audit?",No,,,Bilingual San Diego law firm
RR-USA-20260508-051,2026-05-08,Purdy & Bailey LLP,,,purdybailey.com,San Diego CA,Law Firm (Business Litigation),San Jose,Images lack alt optimization missing attorney schema no case studies,Image alt optimization attorney schema case study library internal linking,A,New Lead,"Purdy & Bailey has 65+ years of combined experience in San Diego but your website's images lack SEO and you have no case studies to showcase wins. We help business law firms build content libraries. Can we discuss your content strategy?",No,,,San Diego business litigation
