Lead ID,Business Name,Email,Website,Industry,Country,Status,Emails Sent,Last Email Date,Last Subject,Next Follow-up,Source,Notes
RR-20260906-015,Louisa Gallegos DDS,frontoffice@happysmileeat.com,www.louisagallegosdds.com,Dental,US,Contacted,1,2026-09-06,Prosthodontics searches in Cherry Cr,2026-09-09,Zoho contact@rankray.com,
RR-20260906-016,Dentique,info@dentiqueaz.com,dentiqueaz.com,Dental,US,Contacted,1,2026-09-06,Turning Dentique awards into Phoenix,2026-09-09,Zoho contact@rankray.com,
RR-20260906-017,Kevin Ortale DDS,drortale@gmail.com,www.kevinortaledds.com,Dental,US,Contacted,1,2026-09-06,Independent Phoenix dentist Maps ide,2026-09-09,Zoho contact@rankray.com,
RR-20260906-018,Northern Smiles,northernsmiles@gmail.com,northernsmilesdentistry.com,Dental,US,Contacted,1,2026-09-06,Family + ortho searches in North Pho,2026-09-09,Zoho contact@rankray.com,
RR-20260906-019,Action Legal Group,info@actionlegalgroup.com,www.actionlegalgroup.com,Law,US,Contacted,1,2026-09-06,Organic leads for Tampa Chicago inju,2026-09-09,Zoho contact@rankray.com,
RR-20260906-020,Slomyanski Law,info@slomyanskilaw.com,www.slomyanskilaw.com,Law,CA,Contacted,1,2026-09-06,Toronto injury search visibility,2026-09-09,Zoho contact@rankray.com,
RR-20260906-021,Harris Heating,info@harrisheating.co.uk,www.harrisheating.co.uk,Home Services,UK,Contacted,1,2026-09-06,Boiler plumber Leeds organic calls,2026-09-09,Zoho contact@rankray.com,
RR-20260906-022,AD Plumbing,contact@plumbingmanchester.co.uk,plumbingmanchester.co.uk,Home Services,UK,Contacted,1,2026-09-06,24/7 Manchester plumbing searches,2026-09-09,Zoho contact@rankray.com,
RR-20260906-023,Kita Dental,info@kitadental.com.au,kitadental.com.au,Dental,AU,Contacted,1,2026-09-06,All-on-4 implant searches for Kita D,2026-09-09,Zoho contact@rankray.com,
RR-20260906-024,Mathew Law Group,info@mathew.law,www.mathew.law,Law,US,Bounced,0,,,,Zoho contact@rankray.com,
RR-20260906-025,Assiff Law,n.assiff@assifflaw.com,assifflaw.com,Law,CA,New,0,,,,Zoho contact@rankray.com,
RR-20260906-026,Meliora Dental,info@melioradental.co.uk,www.melioradental.co.uk,Dental,UK,New,0,,,,Zoho contact@rankray.com,
RR-20260906-027,Swinton Plumbing,Sean.kelly@swintonplumbingandelectrical.co.uk,swintonplumbingandelectrical.co.uk,Home Services,UK,New,0,,,,Zoho contact@rankray.com,
RR-20260906-028,Rex Medical Centre,info@rexmedicalcentre.com,www.rexmedicalcentre.com,Dental,UAE,New,0,,,,Zoho contact@rankray.com,
RR-20260906-029,Melbourne Dental Implants,admin@melbournedentalimplantsstudio.com.au,www.melbournedentalimplantsstudio.com.au,Dental,AU,New,0,,,,Zoho contact@rankray.com,
RR-20260906-030,Magnum Dental,contact@magnumclinic.ae,www.magnumclinic.ae,Dental,UAE,New,0,,,,Zoho contact@rankray.com,
RR-20260906-031,Brothers Plumbing,service@brothersplumbing.com,www.brothersplumbing.com,Home Services,US,New,0,,,,Zoho contact@rankray.com,
RR-20260906-032,Dr John Michalopoulos,enquiries@drjm.com.au,drjm.com.au,Dental,AU,New,0,,,,Zoho contact@rankray.com,
RR-20260906-033,lakeFS,info@lakefs.io,www.lakefs.io,Technology / SaaS,Other,New,0,,,,Legacy Lead Tracker,
RR-20260906-034,APERIO,info@aperio.ai,www.aperio.ai,Technology / SaaS,Other,New,0,,,,Legacy Lead Tracker,
RR-20260906-035,ArcSpan Technologies,info@arcspan.com,www.arcspan.com,Beauty & Wellness,Other,New,0,,,,Legacy Lead Tracker,
RR-20260906-036,The Souled Store,info@thesouledstore.com,www.thesouledstore.com,E-commerce / Fashion,Other,New,0,,,,Legacy Lead Tracker,
RR-20260906-037,Bewakoof,info@bewakoof.com,www.bewakoof.com,Technology / SaaS,Other,New,0,,,,Legacy Lead Tracker,
RR-20260906-038,Khaadi,info@khaadi.com,www.khaadi.com,Technology / SaaS,Other,New,0,,,,Legacy Lead Tracker,
RR-20260906-039,Gul Ahmed,info@gulahmed.com,www.gulahmed.com,Technology / SaaS,Other,New,0,,,,Legacy Lead Tracker,
RR-20260906-040,Legacy Plumbing,info@legacyplumbing.net,legacyplumbing.net,Home Services - Plumbing,Other,New,0,,,,Legacy Lead Tracker,
RR-20260906-041,Mother Modern Plumbing,info@callmother.com,www.callmother.com,Home Services - Plumbing,Other,New,0,,,,Legacy Lead Tracker,
RR-20260906-042,Edgewater Dental Group,info@edgewaterdentistchicago.com,edgewaterdentistchicago.com,Dentistry,Other,New,0,,,,Legacy Lead Tracker,
RR-20260906-043,Networking Bizz,info@seattle.networkingbizz.com,seattle.networkingbizz.com,Technology / SaaS,Other,New,0,,,,Legacy Lead Tracker,
RR-20260906-044,Oak Physio & Wellness,info@oakphysiowellness.ca,oakphysiowellness.ca,Physiotherapy,CA,New,0,,,,Legacy Lead Tracker,
RR-20260906-045,Physical Edge Physiotherapy,info@physicaledgephysio.com,physicaledgephysio.com,Physiotherapy,Other,New,0,,,,Legacy Lead Tracker,
RR-20260906-046,Rose Family Law,info@rosefamilylaw.ca,rosefamilylaw.ca,Legal - Family Law,CA,New,0,,,,Legacy Lead Tracker,
RR-20260906-047,Iqbal Law,info@iqbalslaw.com,www.iqbalslaw.com,Legal - Family Law,CA,New,0,,,,Legacy Lead Tracker,
RR-20260906-048,Radley Family Law,help@radleylaw.ca,radleylaw.ca,Legal - Family Law,CA,New,0,,,,Legacy Lead Tracker,
RR-20260906-049,BOS Plumbing,info@bosplumbing.ca,bosplumbing.ca,Home Services - Plumbing,CA,New,0,,,,Legacy Lead Tracker,
RR-20260906-050,Clearview Dental Clinic,info@clearviewdentalmilton.ca,clearviewdentalmilton.ca,Dentistry,CA,New,0,,,,Legacy Lead Tracker,
RR-20260906-051,Mississauga Plumbing Service,info@mississaugaplumbingservice.ca,www.mississaugaplumbingservice.ca,Home Services - Plumbing,CA,New,0,,,,Legacy Lead Tracker,
RR-20260906-052,Select Plumbing & Heating,selectplumbing@sympatico.ca,www.selectplumbingandheating.ca,Home Services - Commerci,CA,Follow-up Due,0,,,,Legacy Lead Tracker,
RR-20260906-053,North Dental Studio,info@northdentalstudio.ca,northdentalstudio.ca,Dentistry,CA,Follow-up Due,0,,,,Legacy Lead Tracker,
RR-20260906-054,Sherman Dental Centre,info@shermandentalcentre.com,shermandentalcentre.com,Dentistry,CA,Follow-up Due,0,,,,Legacy Lead Tracker,
RR-20260906-055,Caspersz Chegini LLP,info@ccfamilylaw.ca,www.ccfamilylaw.ca,Legal - Family Law,CA,Follow-up Due,0,,,,Legacy Lead Tracker,
RR-20260906-056,Sheddon Physiotherapy,admin@sheddonphysio.com,www.sheddonphysio.com,Physiotherapy,CA,Follow-up Due,0,,,,Legacy Lead Tracker,
RR-20260906-057,Tactic Roofing,info@tacticroofing.com,tacticroofing.com,Home Services - Roofing,CA,Follow-up Due,0,,,,Legacy Lead Tracker,
RR-20260906-058,PhysioNow,applewood@physionow.ca,www.physionow.ca,Physiotherapy,CA,Follow-up Due,0,,,,Legacy Lead Tracker,
RR-20260906-059,Donofrio Family Law,shauna@donofriolaw.ca,donofriolaw.ca,Law,CA,New,0,,,,Legacy Lead Tracker,
RR-20260906-060,GM Autotech Inc.,info@gmautotech.ca,gmautotech.ca,Auto Shop,CA,New,0,,,,Legacy Lead Tracker,
RR-20260906-061,Rajnoop Law,info@rajnooplaw.com,rajnooplaw.com,Law,CA,New,0,,,,Legacy Lead Tracker,
RR-20260906-062,Si Salon and Spa,info@sisalonandspa.ca,www.sisalonandspa.ca,Salon,CA,New,0,,,,Legacy Lead Tracker,
RR-20260906-063,Style n Smyle,info@stylensmyle.ca,stylensmyle.ca,Salon,CA,New,0,,,,Legacy Lead Tracker,
RR-20260906-064,Fowler Plumbing,info@plumbingwindsor.ca,plumbingwindsor.ca,Plumbing,CA,New,0,,,,Legacy Lead Tracker,
RR-20260906-065,Aspire Physiotherapy,info@aspirephysiotherapy.ca,aspirephysiotherapy.ca,Physiotherapy,CA,New,0,,,,Legacy Lead Tracker,
RR-20260906-066,Dabros Law Professional Corporation,info@dabroslaw.com,www.dabroslaw.com,Law,CA,New,0,,,,Legacy Lead Tracker,
RR-20260906-067,Laurel Green Physio,info@laurelgreenphysio.ca,laurelgreenphysio.ca,Physiotherapy,CA,New,0,,,,Legacy Lead Tracker,
RR-20260906-068,Clear Float Spa,info@clearfloat.ca,clearfloat.ca,Spa/Wellness,CA,New,0,,,,Legacy Lead Tracker,
RR-20260906-069,Sandoval Family Law,info@sandovalfamilylaw.com,www.sandovalfamilylaw.com,Legal - Family Law,US,Follow-up Due,0,,,,Legacy Lead Tracker,
RR-20260906-070,Downtown Dental Jax,Downtown@mydentalmail.com,downtowndentaljax.com,Dentistry,US,Follow-up Due,0,,,,Legacy Lead Tracker,
RR-20260906-071,R&B Plumbing,info@rbplumbinginc.com,rbplumbinginc.com,Home Services - Plumbing,US,Follow-up Due,0,,,,Legacy Lead Tracker,
RR-20260906-072,Botkin Rehab Services,info@botkinrehabservices.com,www.botkinrehabservices.com,Physiotherapy,US,Follow-up Due,0,,,,Legacy Lead Tracker,
RR-20260906-073,Sharps Automotive,info@sharpsautomotive.com,www.sharpsautomotive.com,Auto Repair,US,Follow-up Due,0,,,,Legacy Lead Tracker,
RR-20260906-074,Peridot Family Law LLC,info@peridotfamilylaw.com,www.peridotfamilylaw.com,Legal - Family Law,US,Follow-up Due,0,,,,Legacy Lead Tracker,
RR-20260906-075,Classic Homeworks,info@classichomeworks.com,classichomeworks.com,Construction - Home Reno,US,Follow-up Due,0,,,,Legacy Lead Tracker,
RR-20260906-076,Forefront Physical Therapy,hello@forefrontpllc.com,forefrontpllc.com,Physiotherapy,US,Follow-up Due,0,,,,Legacy Lead Tracker,
RR-20260906-077,"Law Office of Scott Righthand, P.C.",info@righthandfirm.com,www.righthandfirm.com,Legal - Personal Injury,US,Follow-up Due,0,,,,Legacy Lead Tracker,
RR-20260906-078,City Air Experts,info@cityairexperts.com,cityairexperts.com,Home Services - HVAC,US,Follow-up Due,0,,,,Legacy Lead Tracker,
RR-20260906-079,The Dome MedDental Clinic,info@meddental.ae,www.meddental.ae,Dentistry,UAE,Follow-up Due,0,,,2026-05-05,Legacy Lead Tracker,
RR-20260906-080,DPFM Clinic (Dubai Physiotherapy & Family Medicine),info@dxbphysio.com,www.dxbphysio.com,Physiotherapy & Family M,UAE,Follow-up Due,0,,,2026-05-05,Legacy Lead Tracker,
RR-20260906-081,Renovation Company in Dubai,info@renovationcompanyindubai.com,renovationcompanyindubai.com,Construction - Home Reno,UAE,Follow-up Due,0,,,2026-05-05,Legacy Lead Tracker,
RR-20260906-082,MPlus Technical Services,info@mplus.ae,www.mplus.ae,Home Services - Plumbing,UAE,Follow-up Due,0,,,2026-05-05,Legacy Lead Tracker,
RR-20260906-083,Yayan Cafe,info@yayancafe.com,www.yayancafe.com,Restaurant & Cafe,UAE,Follow-up Due,0,,,2026-05-05,Legacy Lead Tracker,
RR-20260906-084,Downtown Clinic,info@downtownclinic.ae,downtownclinic.ae,Dentistry,UAE,Follow-up Due,0,,,2026-05-05,Legacy Lead Tracker,
RR-20260906-085,Masoud Law,info@masoudlaw.com,masoudlaw.com,Legal Services,UAE,Follow-up Due,0,,,2026-05-05,Legacy Lead Tracker,
RR-20260906-086,RZ Auto Garage,info@rzautogarage.com,rzautogarage.com,Auto Repair,UAE,Follow-up Due,0,,,2026-05-05,Legacy Lead Tracker,
RR-20260906-087,EuroMEA Legal Services,info@euromealegalservices.com,euromealegalservices.com,Legal Services - Busines,UAE,Follow-up Due,0,,,2026-05-05,Legacy Lead Tracker,
RR-20260906-088,Farouq Abdalla Lawyers,info@famadvocates.ae,famadvocates.ae,Law,UAE,Follow-up Due,0,,,,Legacy Lead Tracker,
RR-20260906-089,RDS LAW (Rashid Deemas Alsuwaidi Advocates),info@rds-law.com,rds-law.ae,Law,UAE,Follow-up Due,0,,,,Legacy Lead Tracker,
RR-20260906-090,International Legal Consultancy (ILC),info@ilcuae.ae,www.ilcuae.ae,Law,UAE,Follow-up Due,0,,,,Legacy Lead Tracker,
RR-20260906-091,Al Noor Dental & Skin Clinic,info@alnoordental.com,alnoordental.com,Dental,UAE,Follow-up Due,0,,,,Legacy Lead Tracker,
RR-20260906-092,Habhab Building Contracting,info@habhabconstruction.com,habhabconstruction.com,Construction,UAE,Follow-up Due,0,,,,Legacy Lead Tracker,
RR-20260906-093,Ocean Beauty Spa,info@ocean-beautyspa.com,www.ocean-beautyspa.com,Salon/Spa,UAE,Follow-up Due,0,,,,Legacy Lead Tracker,
RR-20260906-094,Dar Al Tarmeem,info@daraltarmeem.com,daraltarmeem.com,Home Services,UAE,Follow-up Due,0,,,,Legacy Lead Tracker,
RR-20260906-095,Al Ain Technicians,wasiali809@gmail.com,alaintechnician.com,Home Services,UAE,Follow-up Due,0,,,,Legacy Lead Tracker,
RR-20260906-096,Lalangas Family Dentistry,info@cosmeticdentistdallastx.com,cosmeticdentistdallastx.com,Dentistry,US,Follow-up Due,0,,,,Legacy Lead Tracker,
RR-20260906-097,Walnut Hill Cosmetic & Family Dentistry,info@walnuthilldental.com,www.walnuthilldental.com,Dentistry,US,Follow-up Due,0,,,,Legacy Lead Tracker,
RR-20260906-098,Roberts Auto Service,info@robertsautoservice.com,robertsautoservice.com,Auto Repair,US,Follow-up Due,0,,,,Legacy Lead Tracker,
RR-20260906-099,Law Office of Rebecca J. Carrillo,info@rjc-lawfirm.com,www.rjc-lawfirm.com,Law Firm (Family Law),US,Follow-up Due,0,,,,Legacy Lead Tracker,
RR-20260906-100,Beyond Properties Realty,info@beyondpropertiesrealty.com,www.beyondpropertiesrealty.com,Real Estate,US,Follow-up Due,0,,,,Legacy Lead Tracker,
RR-20260906-101,Home Remedy LLC,info@homeremedyhouston.com,homeremedyhouston.com,Home Services / Remodeli,US,Follow-up Due,0,,,,Legacy Lead Tracker,
RR-20260906-102,Golden View Renovation,info@goldenviewrenovation.com,www.goldenviewrenovation.com,Construction / Remodelin,US,Follow-up Due,0,,,,Legacy Lead Tracker,
RR-20260906-103,Lishman Law,info@lishmanlaw.com,lishmanlaw.com,Law Firm (Family Law),US,Follow-up Due,0,,,,Legacy Lead Tracker,
RR-20260906-104,Friedmans LLP,info@friedmans.ca,www.friedmans.ca,Law,CA,New,0,,,,Legacy Lead Tracker,
RR-20260906-105,Lambert Law,tanya@lambertlawyers.ca,lambertlawyers.ca,Law,CA,New,0,,,,Legacy Lead Tracker,
RR-20260906-106,Devry Smith Frank LLP,info@devrylaw.ca,devrylaw.ca,Law,CA,New,0,,,,Legacy Lead Tracker,
RR-20260906-107,Fauri Law,info@faurilaw.ca,www.faurilaw.ca,Law,CA,New,0,,,,Legacy Lead Tracker,
RR-20260906-108,Al Naqbi Law,info@alnaqbilaw.ae,alnaqbilaw.ae,Law,UAE,New,0,,,,Legacy Lead Tracker,
RR-20260906-109,Al Rowaad Advocates,info@alrowaad.ae,www.alrowaad.ae,Law,UAE,New,0,,,,Legacy Lead Tracker,
RR-20260906-110,LYLAW,info@lylawyers.com,lylawyers.com,Law,UAE,New,0,,,,Legacy Lead Tracker,
RR-20260906-111,Al Ramsy Advocates,info@alramsyadvocates.com,alramsyadvocates.com,Law,UAE,New,0,,,,Legacy Lead Tracker,
RR-20260906-112,James Berry and Associates,enquiries@jamesberrylaw.ae,jamesberrylaw.com,Law,UAE,New,0,,,,Legacy Lead Tracker,
RR-20260906-113,Hudson McKenzie,londoninfo@hudsonmckenzie.com,www.hudsonmckenzie.com,Law,UAE,New,0,,,,Legacy Lead Tracker,
RR-20260906-114,Davies and Associates LLC,info@usimmigrationadvisor.com,www.usimmigrationadvisor.com,Law,UAE,New,0,,,,Legacy Lead Tracker,
RR-20260906-115,Farani Taylor Solicitors,enquiries@faranitaylor.com,faranitaylor.com,Law,UAE,New,0,,,,Legacy Lead Tracker,
RR-20260906-116,Solis Dental Clinic,info@solisdentalclinic.com,www.solisdentalclinic.com,Dental,UAE,New,0,,,,Legacy Lead Tracker,
RR-20260906-117,Precision Dental Clinic,info@precisiondental.ae,www.precisiondental.ae,Dental,UAE,New,0,,,,Legacy Lead Tracker,
RR-20260906-118,Dr Joy Dental Clinic,info@drjoydentalclinic.com,drjoydentalclinic.com,Dental,UAE,New,0,,,,Legacy Lead Tracker,
RR-20260906-119,Oris Dental Center,info@orisdentalcenter.ae,www.orisdentalcenter.ae,Dental,UAE,New,0,,,,Legacy Lead Tracker,
RR-20260906-120,Dentistree,info@dentistree.ae,dentistree.ae,Dental,UAE,New,0,,,,Legacy Lead Tracker,
RR-20260906-121,Malabar Dental Clinic,info@malabardentalclinics.com,malabardentalclinics.com,Dental,UAE,New,0,,,,Legacy Lead Tracker,
RR-20260906-122,Drs Nicolas and Asp,info@nicolasandasp.com,www.nicolasandasp.com,Dental,UAE,New,0,,,,Legacy Lead Tracker,
RR-20260906-123,My Dental Clinic Dubai,info@mydentalclinic.ae,www.mydentalclinic.ae,Dental,UAE,New,0,,,,Legacy Lead Tracker,
RR-20260906-124,Yalla Renovation Dubai,info@yallarenovation.com,www.yallarenovation.com,Construction,UAE,New,0,,,,Legacy Lead Tracker,
RR-20260906-125,NU Projects Dubai,info@nuprojects.ae,www.nuprojects.ae,Construction,UAE,New,0,,,,Legacy Lead Tracker,
RR-20260906-126,Al Naboodah Construction,construction@alnaboodah.com,www.alnaboodahconstruction.com,Construction,UAE,New,0,,,,Legacy Lead Tracker,
RR-20260906-127,OST Constructional Projects,info@ostdubai.com,www.ostdubai.com,Construction,UAE,New,0,,,,Legacy Lead Tracker,
RR-20260906-128,Smart Renovation,info@smartrenovation.ae,smartrenovation.ae,Construction,UAE,New,0,,,,Legacy Lead Tracker,
RR-20260906-129,Haifa Renov8,info@haifarenov8.ae,haifarenov8.ae,Construction,UAE,New,0,,,,Legacy Lead Tracker,
RR-20260906-130,Buckhead Dental Associates,info@buckheaddentalassociates.com,www.buckheaddentalassociates.com,Dental,US,New,0,,,,Legacy Lead Tracker,
RR-20260906-131,Pain Away Dentistry,info@painawaydentistry.com,painawaydentistry.com,Dental,US,New,0,,,,Legacy Lead Tracker,
RR-20260906-132,Dentistry in Buckhead,info@patedds.com,www.patedds.com,Dental,US,New,0,,,,Legacy Lead Tracker,
RR-20260906-133,Johns Creek Dental Associates,info@dentistinjohnscreek.com,www.dentistinjohnscreek.com,Dental,US,New,0,,,,Legacy Lead Tracker,
RR-20260906-134,Pharr Road Dentistry,info@pharrroaddentistry.com,www.pharrroaddentistry.com,Dental,US,New,0,,,,Legacy Lead Tracker,
RR-20260906-135,Eastside Dental Group,info@eastsidedentalgroup.com,eastsidedentalgroup.com,Dental,US,New,0,,,,Legacy Lead Tracker,
RR-20260906-136,Smile Havens,smiles@smilehavens.com,smilehavens.com,Dental,US,New,0,,,,Legacy Lead Tracker,
RR-20260906-137,OShea Dentistry Decatur,info@osheadentistry.com,osheadentistry.com,Dental,US,New,0,,,,Legacy Lead Tracker,
RR-20260906-138,VB Law Group,info@vblawgroup.com,www.vblawgroup.com,Law,US,New,0,,,,Legacy Lead Tracker,
RR-20260906-139,Byrd Davis,info@byrddavis.com,byrddavis.com,Law,US,New,0,,,,Legacy Lead Tracker,
RR-20260906-140,Wayne Wright LLP,info@waynewright.com,waynewright.com,Law,US,New,0,,,,Legacy Lead Tracker,
RR-20260906-141,FVF Law Firm,info@fvflawfirm.com,www.fvflawfirm.com,Law,US,New,0,,,,Legacy Lead Tracker,
RR-20260906-142,Reyes Law,info@reyeslaw.com,www.reyeslaw.com,Law,US,New,0,,,,Legacy Lead Tracker,
RR-20260906-143,Cofer and Connelly PLLC,info@coferconnelly.com,www.coferconnelly.com,Law,US,New,0,,,,Legacy Lead Tracker,
RR-20260906-144,Daniel Stark,info@danielstark.com,www.danielstark.com,Law,US,New,0,,,,Legacy Lead Tracker,
RR-20260906-145,Robson Law Firm,info@robsonlawfirm.com,robsonlawfirm.com,Law,US,New,0,,,,Legacy Lead Tracker,
RR-20260906-146,Jalili Firm,info@jalilifirm.com,www.jalilifirm.com,Law,US,New,0,,,,Legacy Lead Tracker,
RR-20260906-147,Bonilla Law Firm,info@bonillainjurylaw.com,www.bonillainjurylaw.com,Law,US,New,0,,,,Legacy Lead Tracker,
RR-20260906-148,Accord Dental Group,a2zdds@gmail.com,www.accorddentalgroup.com,Dental,US,New,0,,,,Legacy Lead Tracker,
RR-20260906-149,RiNo Dental,info@rinodental.com,www.rinodental.com,Dental,US,New,0,,,,Legacy Lead Tracker,
RR-20260906-150,The Denver Dentists,info@thedenverdentists.com,www.thedenverdentists.com,Dental,US,New,0,,,,Legacy Lead Tracker,
RR-20260906-151,DIC Colorado,info@diccolorado.com,diccolorado.com,Dental,US,New,0,,,,Legacy Lead Tracker,
RR-20260906-152,The Dentistry Place Denver,info@thedentistryplacedenver.com,www.thedentistryplacedenver.com,Dental,US,New,0,,,,Legacy Lead Tracker,
RR-20260906-153,EC Family and Cosmetic Dentistry,info@ecfamilydentist.com,www.ecfamilydentist.com,Dental,US,New,0,,,,Legacy Lead Tracker,
RR-20260906-154,Cherry Creek Restorative Dentistry,info@cherrycreekrestorativedentistry.com,www.cherrycreekrestorativedentistry.com,Dental,US,New,0,,,,Legacy Lead Tracker,
RR-20260906-155,Almeida and Bell Dental,info@almeidabelldental.com,www.almeidabelldental.com,Dental,US,New,0,,,,Legacy Lead Tracker,
RR-20260906-156,Colorado Dental Wellness Center,info@coloradodentalwellness.com,coloradodentalwellness.com,Dental,US,New,0,,,,Legacy Lead Tracker,
RR-20260906-157,Sweeney Merrigan,info@sweeneymerrigan.com,www.sweeneymerrigan.com,Law,US,New,0,,,,Legacy Lead Tracker,
RR-20260906-158,Swartz Law,info@swartzlaw.com,swartzlaw.com,Law,US,New,0,,,,Legacy Lead Tracker,
RR-20260906-159,Jeffrey S Glassman,info@jeffreysglassman.com,www.jeffreysglassman.com,Law,US,New,0,,,,Legacy Lead Tracker,
RR-20260906-160,Altman and Altman LLP,info@altmanllp.com,www.altmanllp.com,Law,US,New,0,,,,Legacy Lead Tracker,
RR-20260906-161,Segal Law Boston,info@segallawmass.com,www.segallawmass.com,Law,US,New,0,,,,Legacy Lead Tracker,
RR-20260906-162,Crowe and Harris LLP,info@croweandharris.com,www.croweandharris.com,Law,US,New,0,,,,Legacy Lead Tracker,
RR-20260906-163,Burns and Jain Law,info@burnsjainlaw.com,burnsjainlaw.com,Law,US,New,0,,,,Legacy Lead Tracker,
RR-20260906-164,Boston Injured,info@bostoninjured.com,www.bostoninjured.com,Law,US,New,0,,,,Legacy Lead Tracker,
RR-20260906-165,Thornton Law Firm,info@tenlaw.com,www.tenlaw.com,Law,US,New,0,,,,Legacy Lead Tracker,
RR-20260906-166,Spada Law Group,info@spadalawgroup.com,www.spadalawgroup.com,Law,US,New,0,,,,Legacy Lead Tracker,
RR-20260906-167,AMS Clinic Montreal,info@amsclinic.ca,amsclinic.ca,Physio,CA,New,0,,,,Legacy Lead Tracker,
RR-20260906-168,PhysioFix,info@physiofix.ca,physiofix.ca,Physio,CA,New,0,,,,Legacy Lead Tracker,
RR-20260906-169,Physio Go,info@cliniquephysiogo.ca,www.cliniquephysiogo.ca,Physio,CA,New,0,,,,Legacy Lead Tracker,
RR-20260906-170,PhysioExtra Montreal,informationsweb@physioextra.ca,physioextra.ca,Physio,CA,New,0,,,,Legacy Lead Tracker,
RR-20260906-171,PhysioMobile,info@physiomobile.ca,physiomobile.ca,Physio,CA,New,0,,,,Legacy Lead Tracker,
RR-20260906-172,McGill Sport Medicine Clinic,info@mcgillsportmedicineclinic.ca,www.mcgillsportmedicineclinic.ca,Physio,CA,New,0,,,,Legacy Lead Tracker,
RR-20260906-173,Physiobalance,info@physiobalance.ca,www.physiobalance.ca,Physio,CA,New,0,,,,Legacy Lead Tracker,
RR-20260906-174,Family Dental Care Ottawa,info@ottawadentist.ca,www.ottawadentist.ca,Dental,CA,New,0,,,,Legacy Lead Tracker,
RR-20260906-175,Kent Street Dental Centre,info@kentstreetdental.ca,www.kentstreetdental.ca,Dental,CA,New,0,,,,Legacy Lead Tracker,
RR-20260906-176,Rothwell Dental Center,info@rothwelldental.ca,rothwelldental.ca,Dental,CA,New,0,,,,Legacy Lead Tracker,
RR-20260906-177,Floss Dental Ottawa,info@flossthoseteeth.ca,flossthoseteeth.ca,Dental,CA,New,0,,,,Legacy Lead Tracker,
RR-20260906-178,Ottawa West Dental,info@ottawawestdental.ca,www.ottawawestdental.ca,Dental,CA,New,0,,,,Legacy Lead Tracker,
RR-20260906-179,Pineview Dental Clinic,info@pineviewdental.ca,pineviewdental.ca,Dental,CA,New,0,,,,Legacy Lead Tracker,
